,chl_a,chl_a,site,sample_date,443,493,560,665,703,740,780,834,864,SA,Max.depth,pct_dev,pct_ag
52,1.3,1.3,11.0,24.0,0.0072820066,0.00794206,0.008582542,0.0055938866,-99999.0,-99999.0,-99999.0,-99999.0,0.011447051,45.0,38.0,5.86,0.0
53,3.0,3.0,294.0,23.0,0.009282595,0.009299128,0.009581924,0.006213346,-99999.0,-99999.0,-99999.0,-99999.0,0.014067305,26.0,29.5,5.39,15.57
54,1.1,1.1,115.0,23.0,0.012667351,0.01371801,0.012888408,0.010019965,-99999.0,-99999.0,-99999.0,-99999.0,0.01943206,518.0,21.0,6.58,13.87
55,35.0,35.0,256.0,27.0,0.00988705,0.0106559675,0.012625101,0.010809701,-99999.0,-99999.0,-99999.0,-99999.0,0.011312526,134.0,114.8,17.55,9.58
56,1.9,1.9,153.0,25.0,0.010638302,0.011745904,0.009894562,0.006965272,-99999.0,-99999.0,-99999.0,-99999.0,0.017964358,1191.0,456.0,2.23,0.0
57,6.3,6.3,186.0,17.0,0.012591984,0.0127661545,0.015141472,0.010433787,-99999.0,-99999.0,-99999.0,-99999.0,0.017437816,19.0,11.5,84.67,0.0
58,54.3,54.3,192.0,17.0,0.012638774,0.013876225,0.020005178,0.014031108,-99999.0,-99999.0,-99999.0,-99999.0,0.017574364,102.0,16.0,74.9,1.11
59,25.5,25.5,180.0,16.0,0.0130174225,0.013363253,0.015363922,0.01047945,-99999.0,-99999.0,-99999.0,-99999.0,0.02020155,19.0,6.0,57.46,0.0
60,2.9,2.9,239.0,24.0,0.013775534,0.013588686,0.012846805,0.008447305,-99999.0,-99999.0,-99999.0,-99999.0,0.014184522,19.0,32.8,1.69,0.0
61,7.2,7.2,189.0,22.0,0.011984809,0.0122063905,0.013542053,0.009383062,-99999.0,-99999.0,-99999.0,-99999.0,0.014854013,13.0,9.8,46.22,2.6
62,122.0,122.0,67.0,20.0,0.015526369,0.016502162,0.02066991,0.016671166,-99999.0,-99999.0,-99999.0,-99999.0,0.01782957,109.0,4.0,89.22,0.0
63,8.1,8.1,69.0,24.0,0.009713515,0.010244946,0.01074777,0.006761712,-99999.0,-99999.0,-99999.0,-99999.0,0.010666174,661.0,25.0,5.88,22.45
64,4.44,4.44,315.0,19.0,0.009642247,0.009984833,0.0103353225,0.007533252,-99999.0,-99999.0,-99999.0,-99999.0,0.010967786,186.0,78.0,12.65,27.78
65,1.24,1.24,358.0,20.0,0.009709852,0.009970434,0.0101090735,0.0063078473,-99999.0,-99999.0,-99999.0,-99999.0,0.012598644,140.0,12.0,6.95,2.01
66,4.4,4.4,361.0,24.0,0.013288193,0.013190652,0.012257721,0.008653736,-99999.0,-99999.0,-99999.0,-99999.0,0.01694888,380.0,15.0,0.68,0.0
67,8.8,8.8,163.0,18.0,0.011262096,0.011687122,0.013028377,0.008639269,-99999.0,-99999.0,-99999.0,-99999.0,0.013719881,122.0,23.0,25.59,2.81
68,40.2,40.2,169.0,20.0,0.007516502,0.009030336,0.013849279,0.009658615,-99999.0,-99999.0,-99999.0,-99999.0,0.015267724,192.0,13.1,26.1,2.85
69,2.2,2.2,281.0,19.0,0.008319876,0.008655664,0.009065066,0.0064239,-99999.0,-99999.0,-99999.0,-99999.0,0.013940707,115.0,14.0,13.31,1.45
70,1.8,1.8,363.0,25.0,0.009993574,0.010385447,0.0095791,0.0070384485,-99999.0,-99999.0,-99999.0,-99999.0,0.010860393,48.0,7.0,9.62,0.17
71,93.5,93.5,247.0,20.0,0.008413803,0.009527163,0.0148061095,0.010720024,-99999.0,-99999.0,-99999.0,-99999.0,0.01175699,173.0,11.0,9.15,13.11
72,0.6,0.6,255.0,17.0,0.0106285615,0.010165856,0.007955037,0.004783551,-99999.0,-99999.0,-99999.0,-99999.0,0.008395102,134.0,114.8,4.88,6.03
73,10.3,10.3,302.0,18.0,0.008411873,0.010659403,0.016721992,0.011615227,-99999.0,-99999.0,-99999.0,-99999.0,0.010352937,326.0,62.3,15.36,38.07
74,31.4,31.4,273.0,25.0,0.010907318,0.012792565,0.020826284,0.013027298,-99999.0,-99999.0,-99999.0,-99999.0,0.01522911,185.0,34.0,60.4,0.14
75,0.8,0.8,119.0,25.0,0.011403231,0.011228586,0.0109371515,0.007461421,-99999.0,-99999.0,-99999.0,-99999.0,0.010280289,327.0,52.0,27.29,0.8
76,16.7,16.7,83.0,18.0,0.005275704,0.00702296,0.011007664,0.006357682,-99999.0,-99999.0,-99999.0,-99999.0,0.011466678,117.0,16.7,10.3,24.24
77,10.1,10.1,22.0,17.0,0.0047740643,0.005536117,0.0062950165,0.004635442,-99999.0,-99999.0,-99999.0,-99999.0,0.010414433,32.0,33.0,9.01,1.59
78,2.0,2.0,198.0,18.0,0.016074779,0.015790874,0.013140628,0.009660282,-99999.0,-99999.0,-99999.0,-99999.0,0.013915588,2173.0,150.0,1.05,0.0
79,33.3,33.3,266.0,17.0,0.010238329,0.011933213,0.018602619,0.01211942,-99999.0,-99999.0,-99999.0,-99999.0,0.014590468,250.0,29.5,24.35,22.9
80,1.1,1.1,264.0,25.0,0.0069505884,0.0077089807,0.007530225,0.0057040066,-99999.0,-99999.0,-99999.0,-99999.0,0.009217312,896.0,58.0,1.67,0.12
81,23.0,23.0,21.0,24.0,0.013668269,0.01402084,0.015594528,0.010764685,-99999.0,-99999.0,-99999.0,-99999.0,0.019683003,26.0,18.0,8.57,5.67
82,1.1,1.1,264.0,25.0,0.006910218,0.0076485947,0.007530225,0.005704301,-99999.0,-99999.0,-99999.0,-99999.0,0.009217312,896.0,58.0,1.67,0.12
83,10.0,10.0,201.0,16.0,0.0036028589,0.0041256323,0.0065279994,0.004797209,-99999.0,-99999.0,-99999.0,-99999.0,0.020205747,32.0,18.7,4.71,1.13
84,151.0,151.0,262.0,20.0,0.0100335535,0.0101547865,0.010698791,0.007468131,-99999.0,-99999.0,-99999.0,-99999.0,0.015829595,14.0,6.9,36.22,5.72
85,10.3,10.3,302.0,18.0,0.008411922,0.010659623,0.016706364,0.011615811,-99999.0,-99999.0,-99999.0,-99999.0,0.010368215,326.0,62.3,15.36,38.07
86,0.5,0.5,320.0,17.0,0.0065667196,0.0070847594,0.0069340286,0.0047164825,-99999.0,-99999.0,-99999.0,-99999.0,0.009848038,32.0,32.8,2.76,0.0
87,1.6,1.6,218.0,24.0,0.0021094312,0.003572661,0.00628237,0.0033334075,-99999.0,-99999.0,-99999.0,-99999.0,0.05490867,42.0,46.0,6.76,0.0
88,6.6,6.6,217.0,18.0,0.0077558463,0.00949355,0.0067804684,0.004962768,-99999.0,-99999.0,-99999.0,-99999.0,0.029953355,19.0,19.7,34.67,4.16
89,1.3,1.3,54.0,24.0,0.002580422,0.0039275168,0.0047907643,0.0022024342,-99999.0,-99999.0,-99999.0,-99999.0,0.0022866372,1164.0,45.0,9.1,25.82
90,0.7,0.7,71.0,25.0,0.0028809693,0.004606865,0.007559121,0.003169577,-99999.0,-99999.0,-99999.0,-99999.0,0.0032591121,26.0,32.8,10.01,30.32
91,2.2,2.2,78.0,24.0,0.0029564314,0.004586946,0.005814617,0.002950417,-99999.0,-99999.0,-99999.0,-99999.0,0.0027014904,576.0,55.0,5.8,23.26
92,0.1,0.1,128.0,28.0,0.0015401345,0.0031957654,0.0058004647,0.0032771747,-99999.0,-99999.0,-99999.0,-99999.0,0.0027560599,70.0,70.0,3.18,43.21
93,14.4,14.4,34.0,29.0,0.00050914584,0.0020535726,0.0032567412,0.0027464232,-99999.0,-99999.0,-99999.0,-99999.0,0.002436955,341.0,70.0,0.03,0.93
94,2.9,2.9,239.0,24.0,0.0016409737,0.0028416906,0.004342305,0.0020286709,-99999.0,-99999.0,-99999.0,-99999.0,0.0035140743,19.0,32.8,1.69,0.0
95,1.6,1.6,168.0,26.0,0.0019592578,0.0029838476,0.0033957886,0.0017576396,-99999.0,-99999.0,-99999.0,-99999.0,0.0019899784,1286.0,75.0,1.81,1.24
96,0.3,0.3,124.0,30.0,0.0034404013,0.00408636,0.004327259,0.0023521595,-99999.0,-99999.0,-99999.0,-99999.0,0.0027326841,320.0,55.0,0.34,0.73
97,6.5,6.5,44.0,24.0,0.004326293,0.0054332595,0.007324637,0.0042924564,-99999.0,-99999.0,-99999.0,-99999.0,0.0026842756,1031.0,49.0,3.82,9.63
98,12.9,12.9,223.0,23.0,0.0019232193,0.0025256672,0.0024704526,0.0017480829,-99999.0,-99999.0,-99999.0,-99999.0,0.0026902887,45.0,9.5,0.07,0.3
99,1.1,1.1,59.0,28.0,0.0011384242,0.0023690779,0.0032713462,0.0015350749,-99999.0,-99999.0,-99999.0,-99999.0,0.0024595442,40.0,17.0,0.14,0.0
100,6.4,6.4,155.0,24.0,0.0018193558,0.002533197,0.003761122,0.0015821918,-99999.0,-99999.0,-99999.0,-99999.0,0.009013626,58.0,15.0,0.35,1.46
101,5.6,5.6,328.0,25.0,0.004096565,0.0050323606,0.009943921,0.0044849985,-99999.0,-99999.0,-99999.0,-99999.0,0.0032162466,230.0,34.0,9.84,40.59
102,15.0,15.0,98.0,28.0,0.0033604577,0.0043285694,0.0064736963,0.0033505752,-99999.0,-99999.0,-99999.0,-99999.0,0.0052450597,13.0,37.0,77.2,3.52
103,0.3,0.3,357.0,23.0,0.0016113877,0.0027764528,0.004401462,0.003247859,-99999.0,-99999.0,-99999.0,-99999.0,0.0030672317,113.0,27.0,5.85,5.06
104,0.1,0.1,128.0,28.0,0.001548346,0.0031891873,0.0057955827,0.0032932402,-99999.0,-99999.0,-99999.0,-99999.0,0.0027560748,70.0,70.0,3.18,43.21
105,1.0,1.0,167.0,24.0,0.00023662463,0.0015237647,0.002793428,0.0014462097,-99999.0,-99999.0,-99999.0,-99999.0,0.0040794336,38.0,45.3,1.18,0.0
106,1.5,1.5,329.0,25.0,0.0016676335,0.0033410436,0.004725157,0.0023980855,-99999.0,-99999.0,-99999.0,-99999.0,0.0028980973,308.0,40.0,3.93,21.89
107,0.8,0.8,193.0,25.0,0.0018969845,0.00326337,0.004110933,0.0020475641,-99999.0,-99999.0,-99999.0,-99999.0,0.0025930218,250.0,42.7,2.07,43.34
108,0.1,0.1,355.0,25.0,-99999.0,0.0009908872,0.0038150095,0.0034864475,-99999.0,-99999.0,-99999.0,-99999.0,0.00850189,64.0,9.8,2.15,13.4
109,12.0,12.0,217.0,34.0,0.0051548304,0.0052208127,0.0044706287,0.0029154064,-99999.0,-99999.0,-99999.0,-99999.0,0.0033986007,19.0,19.7,34.67,4.16
110,0.8,0.8,218.0,31.0,0.004541762,0.004603134,0.0035269544,0.0018673361,-99999.0,-99999.0,-99999.0,-99999.0,0.003599419,42.0,46.0,6.76,0.0
111,15.8,15.8,44.0,34.0,0.0083345715,0.009512897,0.013558065,0.0073947706,-99999.0,-99999.0,-99999.0,-99999.0,0.0038527348,1031.0,49.0,3.82,9.63
112,10.0,10.0,34.0,35.0,0.0053250324,0.006568931,0.0057561863,0.0042196186,-99999.0,-99999.0,-99999.0,-99999.0,0.00628685,341.0,70.0,0.03,0.93
113,1.4,1.4,96.0,33.0,0.004717444,0.0051859496,0.00416228,0.0028564972,-99999.0,-99999.0,-99999.0,-99999.0,0.0030831438,294.0,20.0,0.06,0.82
114,0.2,0.2,124.0,40.0,0.006465907,0.00686869,0.006953835,0.0038711173,-99999.0,-99999.0,-99999.0,-99999.0,0.0036236185,320.0,55.0,0.34,0.73
115,23.9,23.9,232.0,35.0,0.007449394,0.0077896565,0.008055351,0.006109207,-99999.0,-99999.0,-99999.0,-99999.0,0.003956352,38.0,15.4,3.54,45.38
116,2.7,2.7,305.0,34.0,0.0030157662,0.0040449826,0.0050330875,0.0028619787,-99999.0,-99999.0,-99999.0,-99999.0,0.0052296952,51.0,42.7,7.0,10.5
117,23.9,23.9,232.0,35.0,0.0074494025,0.00779798,0.008049758,0.0061120205,-99999.0,-99999.0,-99999.0,-99999.0,0.003963958,38.0,15.4,3.54,45.38
118,5.3,5.3,352.0,34.0,0.005792832,0.006042559,0.005917313,0.003434689,-99999.0,-99999.0,-99999.0,-99999.0,0.004144493,32.0,26.2,9.12,36.2
119,5.1,5.1,90.0,34.0,0.0043508885,0.005451627,0.0036555254,0.0021002453,-99999.0,-99999.0,-99999.0,-99999.0,0.0049231597,198.0,48.0,8.43,0.58
120,8.9,8.9,173.0,35.0,0.011029978,0.010589107,0.0103909625,0.0060990094,-99999.0,-99999.0,-99999.0,-99999.0,0.0034376031,35840.0,1394.0,4.13,36.66
121,2.0,2.0,168.0,32.0,0.0072261533,0.0073516667,0.006482691,0.0036771165,-99999.0,-99999.0,-99999.0,-99999.0,0.0032930404,1286.0,75.0,1.81,1.24
122,2.1,2.1,116.0,40.0,0.0075916266,0.007629868,0.006112227,0.0038883425,-99999.0,-99999.0,-99999.0,-99999.0,0.0032870285,108.0,64.0,1.49,14.84
123,8.9,8.9,173.0,35.0,0.011038492,0.010589001,0.010398055,0.0060971044,-99999.0,-99999.0,-99999.0,-99999.0,0.0034375866,35840.0,1394.0,4.13,36.66
124,0.9,0.9,334.0,31.0,0.009834218,0.009666,0.0077182027,0.004593151,-99999.0,-99999.0,-99999.0,-99999.0,0.0063272705,101.0,20.0,15.2,29.74
125,0.5,0.5,305.0,31.0,0.0030157662,0.0040449826,0.0050330875,0.0028619787,-99999.0,-99999.0,-99999.0,-99999.0,0.0052296952,51.0,42.7,7.0,10.5
126,1.4,1.4,54.0,36.0,0.0074837347,0.0078702625,0.0075485986,0.0038723045,-99999.0,-99999.0,-99999.0,-99999.0,0.0028194054,1164.0,45.0,9.1,25.82
127,1.3,1.3,235.0,34.0,0.0062160795,0.0060966164,0.004425957,0.002231548,-99999.0,-99999.0,-99999.0,-99999.0,0.002882988,506.0,76.1,0.39,5.39
128,3.6,3.6,94.0,34.0,0.00691698,0.0069271033,0.005609068,0.0030516244,-99999.0,-99999.0,-99999.0,-99999.0,0.003035376,272.0,50.0,0.81,19.24
129,1.1,1.1,46.0,34.0,0.0044770567,0.0046409336,0.003492552,0.0020684053,-99999.0,-99999.0,-99999.0,-99999.0,0.0028994812,554.0,138.0,2.24,0.03
130,73.8,73.8,20.0,40.0,0.005222383,0.006874968,0.009718675,0.006620828,-99999.0,-99999.0,-99999.0,-99999.0,0.005102586,238.0,30.0,2.25,0.9
131,0.7,0.7,95.0,34.0,0.0052640038,0.00583064,0.0052582663,0.003407844,-99999.0,-99999.0,-99999.0,-99999.0,0.0038862815,280.0,31.0,2.44,15.23
132,1.4,1.4,96.0,33.0,0.004717091,0.0051789456,0.004174993,0.0028526953,-99999.0,-99999.0,-99999.0,-99999.0,0.0030755664,294.0,20.0,0.06,0.82
133,5.3,5.3,352.0,34.0,0.005776639,0.006050629,0.005916747,0.0034343884,-99999.0,-99999.0,-99999.0,-99999.0,0.0041370103,32.0,26.2,9.12,36.2
134,21.3,21.3,357.0,34.0,0.0035204215,0.00456148,0.0059781903,0.0043312195,-99999.0,-99999.0,-99999.0,-99999.0,0.0063765855,113.0,27.0,5.85,5.06
135,2.4,2.4,355.0,38.0,0.0025851834,0.0038051063,0.0058869626,0.004017886,-99999.0,-99999.0,-99999.0,-99999.0,0.0077923913,64.0,9.8,2.15,13.4
136,4.1,4.1,288.0,34.0,0.0074142683,0.0069279214,0.005227109,0.0034809916,-99999.0,-99999.0,-99999.0,-99999.0,0.0021448897,24707.0,74.0,2.69,0.17
137,0.7,0.7,95.0,34.0,0.005281019,0.0058307643,0.005267309,0.003416427,-99999.0,-99999.0,-99999.0,-99999.0,0.0038790675,280.0,31.0,2.44,15.23
138,21.3,21.3,163.0,47.0,0.01022773,0.011193407,0.015278797,0.009806142,-99999.0,-99999.0,-99999.0,-99999.0,0.01105501,122.0,23.0,25.59,2.81
139,1.8,1.8,119.0,42.0,0.014481496,0.014141861,0.01300945,0.008853089,-99999.0,-99999.0,-99999.0,-99999.0,0.012826197,327.0,52.0,27.29,0.8
140,24.9,24.9,169.0,38.0,0.009511656,0.010199261,0.012125348,0.0087169055,-99999.0,-99999.0,-99999.0,-99999.0,0.010259794,192.0,13.1,26.1,2.85
141,3.2,3.2,41.0,41.0,0.014604847,0.0144806905,0.014131403,0.009125657,-99999.0,-99999.0,-99999.0,-99999.0,0.013584466,366.0,36.0,12.28,8.19
142,2.4,2.4,60.0,40.0,0.0106017515,0.010531974,0.010006729,0.00611727,-99999.0,-99999.0,-99999.0,-99999.0,0.010564778,45.0,52.5,47.83,2.01
143,4.7,4.7,115.0,41.0,0.014365421,0.014471865,0.013737326,0.00950664,-99999.0,-99999.0,-99999.0,-99999.0,0.013512333,518.0,21.0,6.58,13.87
144,0.6,0.6,177.0,44.0,0.012429819,0.012696561,0.011745396,0.0076881316,-99999.0,-99999.0,-99999.0,-99999.0,0.013397095,28170.0,196.0,6.41,0.98
145,53.9,53.9,247.0,37.0,0.015526708,0.01566944,0.018187927,0.014050728,-99999.0,-99999.0,-99999.0,-99999.0,0.01518309,173.0,11.0,9.15,13.11
146,1.0,1.0,320.0,41.0,0.011572362,0.011554357,0.011033607,0.0075803814,-99999.0,-99999.0,-99999.0,-99999.0,0.014264329,32.0,32.8,2.76,0.0
147,38.5,38.5,256.0,45.0,0.0106861,0.011368945,0.014131342,0.011637865,-99999.0,-99999.0,-99999.0,-99999.0,0.010205083,134.0,114.8,17.55,9.58
148,36.8,36.8,273.0,42.0,0.009850864,0.01204172,0.02064601,0.012371679,-99999.0,-99999.0,-99999.0,-99999.0,0.011855199,185.0,34.0,60.4,0.14
149,0.3,0.3,177.0,46.0,0.012429819,0.012696561,0.011745396,0.0076881316,-99999.0,-99999.0,-99999.0,-99999.0,0.013397095,28170.0,196.0,6.41,0.98
150,2.7,2.7,11.0,42.0,0.01321771,0.0131318765,0.012785082,0.008366856,-99999.0,-99999.0,-99999.0,-99999.0,0.0147791635,45.0,38.0,5.86,0.0
151,80.2,80.2,189.0,39.0,0.012784217,0.012963131,0.013804374,0.009493036,-99999.0,-99999.0,-99999.0,-99999.0,0.012790872,13.0,9.8,46.22,2.6
152,0.8,0.8,275.0,46.0,0.012985064,0.012857083,0.012111163,0.0078365,-99999.0,-99999.0,-99999.0,-99999.0,0.013060324,141.0,40.0,9.82,4.22
